0,0,100000,100000,100000,100000,100000,100000
0,5,011100,011100,011100,011100,011100,011100
0,10,100011,100011,100011,100011,100011,100011
0,15,100010,100010,100010,100010,100010,100010
0,20,011001,011001,011001,011001,011001,011001
0,25,110010,110010,110010,110010,110010,110010
0,30,100101,100101,100101,100101,100101,100101
0,35,100110,100110,100110,100110,100110,100110
0,40,000110,000110,000110,000110,000110,000110
0,45,001000,001000,001000,001000,001000,001000
0,50,110000,110000,110000,110000,110000,110000
0,55,110111,110111,110111,110111,110111,110111
0,60,100010,100010,100010,100010,100010,100010
0,65,010010,010010,010010,010010,010010,010010
0,70,010010,010010,010010,010010,010010,010010
0,75,101000,101000,101000,101000,101000,101000
0,80,101011,101011,101011,101011,101011,101011
0,85,101011,101011,101011,101011,101011,101011
0,90,001110,001110,001110,001110,001110,001110
0,95,010010,010010,010010,010010,010010,010010
0,100,101001,101001,101001,101001,101001,101001
0,105,100000,100000,100000,100000,100000,100000
0,110,010101,010101,010101,010101,010101,010101
0,115,011001,011001,011001,011001,011001,011001
0,120,100010,100010,100010,100010,100010,100010
0,125,111111,111111,111111,111111,111111,111111
0,130,111111,111111,111111,111111,111111,111111
0,135,001111,001111,001111,001111,001111,001111
0,140,111001,111001,111001,111001,111001,111001
0,145,011000,011000,011000,011000,011000,011000
0,150,001111,001111,001111,001111,001111,001111
0,155,000100,000100,000100,000100,000100,000100
0,160,001000,001000,001000,001000,001000,001000
0,165,101100,101100,101100,101100,101100,101100
0,170,000101,000101,000101,000101,000101,000101
0,175,110000,110000,110000,110000,110000,110000
5,0,100110,100110,100110,100110,100110,100110
5,5,100000,100000,100000,100000,100000,100000
5,10,110111,110111,110111,110111,110111,110111
5,15,110110,110110,110110,110110,110110,110110
5,20,101001,101001,101001,101001,101001,101001
5,25,111101,111101,111101,111101,111101,111101
5,30,001011,001011,001011,001011,001011,001011
5,35,010001,010001,010001,010001,010001,010001
5,40,101000,101000,101000,101000,101000,101000
5,45,001010,001010,001010,001010,001010,001010
5,50,011111,011111,011111,011111,011111,011111
5,55,110111,110111,110111,110111,110111,110111
5,60,110001,110001,110001,110001,110001,110001
5,65,010010,010010,010010,010010,010010,010010
5,70,111011,111011,111011,111011,111011,111011
5,75,000011,000011,000011,000011,000011,000011
5,80,101111,101111,101111,101111,101111,101111
5,85,101101,101101,101101,101101,101101,101101
5,90,110000,110000,110000,110000,110000,110000
5,95,110110,110110,110110,110110,110110,110110
5,100,000100,000100,000100,000100,000100,000100
5,105,110001,110001,110001,110001,110001,110001
5,110,111000,111000,111000,111000,111000,111000
5,115,010110,010110,010110,010110,010110,010110
5,120,001010,001010,001010,001010,001010,001010
5,125,111000,111000,111000,111000,111000,111000
5,130,101101,101101,101101,101101,101101,101101
5,135,101000,101000,101000,101000,101000,101000
5,140,111101,111101,111101,111101,111101,111101
5,145,001110,001110,001110,001110,001110,001110
5,150,101110,101110,101110,101110,101110,101110
5,155,001101,001101,001101,001101,001101,001101
5,160,100101,100101,100101,100101,100101,100101
5,165,010110,010110,010110,010110,010110,010110
5,170,100000,100000,100000,100000,100000,100000
5,175,100111,100111,100111,100111,100111,100111
10,0,111010,111010,111010,111010,111010,111010
10,5,111101,111101,111101,111101,111101,111101
10,10,010101,010101,010101,010101,010101,010101
10,15,011000,011000,011000,011000,011000,011000
10,20,110100,110100,110100,110100,110100,110100
10,25,101001,101001,101001,101001,101001,101001
10,30,010010,010010,010010,010010,010010,010010
10,35,111110,111110,111110,111110,111110,111110
10,40,010000,010000,010000,010000,010000,010000
10,45,100010,100010,100010,100010,100010,100010
10,50,000010,000010,000010,000010,000010,000010
10,55,111001,111001,111001,111001,111001,111001
10,60,010001,010001,010001,010001,010001,010001
10,65,001010,001010,001010,001010,001010,001010
10,70,010000,010000,010000,010000,010000,010000
10,75,110011,110011,110011,110011,110011,110011
